,too big (Transmasc),too small (Transmasc),too big (Transfemme),too small (Transfemme)
fit issue with shoulder width,21.0,5.0,,20.0
fit issue with sleeve circumference,11.0,8.0,,12.0
fit issue with sleeve length,36.0,4.0,,22.0
fit issue with chest width,16.0,7.0,1.0,14.0
fit issue with waist size,14.0,16.0,2.0,7.0
fit issue with torso length,29.0,4.0,2.0,19.0
fit issue with hip width,6.0,37.0,8.0,3.0
fit issue with pant crotch fit,24.0,3.0,1.0,12.0
fit issue with leg circumference,12.0,17.0,2.0,7.0
fit issue with leg length,38.0,7.0,1.0,15.0
fit issue with breast space,,,5.0,9.0
