Timestamp,heights,amab,afab,direction
30/01/2026 11:36:40,172.0,average,average,Transmasc
01/02/2026 17:24:22,157.48,short,short,Transmasc
02/02/2026 05:12:15,170.18,short,average,Transmasc
05/02/2026 14:14:00,165.0,short,average,Transfemme
10/02/2026 13:13:15,161.0,average,average,Transmasc
12/02/2026 18:42:32,168.0,short,average,Transmasc
18/02/2026 21:07:57,175.26,average,tall,Transmasc
03/05/2026 17:11:16,195.0,tall,tall,Transfemme
10/05/2026 00:04:58,166.37,short,average,Transmasc
10/05/2026 07:25:26,166.0,short,average,Transmasc
25/06/2026 21:26:36,160.0,short,average,Transmasc
25/06/2026 23:28:34,173.0,average,average,Transmasc
25/06/2026 23:45:47,180.34,average,tall,Transmasc
26/06/2026 06:36:06,157.48,short,average,Transmasc
27/06/2026 04:19:45,167.64,short,short,Transmasc
27/06/2026 05:22:05,162.56,short,average,Transmasc
27/06/2026 06:14:25,157.48,short,average,Transmasc
27/06/2026 07:02:47,183.0,average,tall,Transfemme
27/06/2026 10:36:37,165.0,short,average,Transmasc
27/06/2026 10:43:11,165.0,short,average,Transmasc
27/06/2026 13:30:01,155.0,short,average,Transmasc
27/06/2026 16:20:55,171.0,short,average,Transmasc
27/06/2026 16:36:58,152.0,short,average,Transmasc
27/06/2026 16:50:59,162.56,short,average,Transmasc
27/06/2026 17:38:17,164.0,average,average,Transmasc
27/06/2026 20:15:01,165.1,short,average,Transmasc
27/06/2026 23:28:03,164.0,short,short,Transmasc
27/06/2026 23:36:11,172.72,short,average,Transmasc
27/06/2026 23:48:41,176.53,average,average,Transmasc
28/06/2026 00:16:18,157.0,short,short,Transmasc
28/06/2026 00:28:18,156.21,short,short,Transmasc
28/06/2026 00:43:40,193.04,average,average,Transfemme
28/06/2026 03:11:50,172.72,average,average,Transfemme
28/06/2026 11:06:18,157.0,short,average,Transmasc
28/06/2026 12:06:05,159.0,short,average,Transmasc
28/06/2026 12:20:26,188.0,tall,tall,Transfemme
28/06/2026 12:48:37,188.0,tall,tall,Transfemme
28/06/2026 13:01:41,173.0,average,average,Transfemme
28/06/2026 13:16:10,165.0,average,average,Transfemme
28/06/2026 13:40:45,173.0,average,average,Transfemme
28/06/2026 13:51:23,188.0,tall,tall,Transfemme
28/06/2026 13:56:38,164.0,average,average,Transfemme
28/06/2026 14:04:02,178.0,average,tall,Transfemme
28/06/2026 14:11:42,190.0,tall,tall,Transfemme
28/06/2026 16:48:51,186.0,tall,tall,Transfemme
28/06/2026 17:36:17,161.29,short,short,Transmasc
28/06/2026 22:54:38,172.72,average,tall,Transmasc
28/06/2026 23:40:33,175.26,average,average,Transmasc
29/06/2026 00:52:46,162.0,short,average,Transmasc
29/06/2026 04:30:27,153.0,average,average,Transmasc
29/06/2026 05:57:36,157.48,short,average,Transmasc
29/06/2026 08:24:40,172.72,average,average,Transmasc
29/06/2026 09:00:13,156.0,short,short,Transmasc
29/06/2026 11:34:06,170.0,average,average,Transmasc
30/06/2026 03:49:02,162.56,short,average,Transmasc
30/06/2026 19:44:33,181.0,average,tall,Transmasc
30/06/2026 21:02:07,160.0,average,average,Transmasc
01/07/2026 09:29:24,160.0,short,short,Transmasc
01/07/2026 12:33:48,167.0,short,average,Transmasc
02/07/2026 04:17:15,172.72,average,average,Transfemme
02/07/2026 07:04:47,165.1,average,average,Transmasc
02/07/2026 18:25:24,171.0,average,average,Transmasc
02/07/2026 20:48:47,180.34,average,tall,Transfemme
03/07/2026 19:02:39,157.5,short,short,Transmasc
03/07/2026 20:02:01,175.26,average,average,Transfemme
04/07/2026 17:16:44,167.64,average,average,Transmasc
05/07/2026 18:41:09,165.0,short,average,Transmasc
06/07/2026 02:28:54,165.1,short,short,Transmasc
06/07/2026 05:28:22,167.64,short,average,Transmasc
11/07/2026 14:47:04,183.0,average,tall,Transfemme
14/07/2026 07:45:20,170.18,short,average,Transmasc
18/07/2026 08:21:44,172.72,average,tall,Transfemme
19/07/2026 15:27:12,158.0,short,short,Transmasc
20/07/2026 02:14:18,154.94,short,short,Transmasc
20/07/2026 10:29:42,176.0,average,average,Transfemme
20/07/2026 10:41:09,171.0,short,tall,Transfemme
20/07/2026 10:48:17,188.0,average,tall,Transfemme
20/07/2026 10:53:57,167.0,average,average,Transmasc
20/07/2026 11:02:28,177.0,average,tall,Transfemme
20/07/2026 11:11:20,183.0,average,tall,Transfemme
20/07/2026 11:21:04,178.0,short,average,Transfemme
20/07/2026 11:30:31,160.0,short,average,Transmasc
20/07/2026 11:36:36,167.0,short,average,Transfemme
20/07/2026 11:44:55,178.0,average,tall,Transfemme
20/07/2026 11:55:06,176.0,average,tall,Transfemme
20/07/2026 12:09:02,178.0,average,tall,Transfemme
20/07/2026 12:18:58,180.0,average,tall,Transfemme
20/07/2026 12:24:57,180.0,short,tall,Transfemme
20/07/2026 12:33:10,184.0,average,tall,Transmasc
20/07/2026 12:43:46,180.0,average,tall,Transmasc
